id,coordenada_longitud,coordenada_latitud,direccion,construccion_fecha,institucion_ruc
0,51.253185,13.8491195,"8885 Holloway Mill Apt. 400
Port Alexandermouth, VI 27757",2007-06-06,72916070569
1,32.615085,65.1460525,"3279 Anderson Harbor Apt. 945
East Aprilside, FL 03667",2016-12-25,32022851994
2,-134.620745,-43.7561045,"Unit 3403 Box 3172
DPO AE 84308",2003-01-05,21093598224
3,169.837051,-52.9628745,"14766 Smith Prairie Apt. 072
Port Luisport, MN 51632",2008-02-08,81111897193
4,-170.710594,65.890329,"197 Carolyn Park Apt. 767
South Joann, CO 83584",1995-12-02,54797788024
5,-56.322478,9.916753,"9703 Roger Pass
Estradamouth, AK 10217",1997-12-21,53564332929
6,150.955321,-55.9558285,"76972 John Wells
Juanfurt, NY 37119",2021-03-09,26898887540
7,138.346145,23.633022,"576 Brown Camp
South Josephland, OR 05591",2019-12-17,75623825183
8,-160.916406,-74.9266975,"139 Murray Course Suite 978
New Sean, RI 86473",2009-01-28,69338879104
9,157.497683,-44.939892,"18761 Newton Mountain
South Michelleborough, NY 04859",2022-05-08,38657340639
10,-67.920669,18.730070,"456 Roy Freeway Suite 315
Brownfort, VI 53157",2013-07-30,68072001427
11,102.214098,-33.924873,"1785 Williams Burgs
Jameschester, NV 71964",2006-05-28,56070048970
12,81.132254,-88.876398,"4289 Lisa Island
Paulland, OK 71935",2011-11-04,43250901321
13,-173.825341,-0.8611715,"Unit 0953 Box 8091
DPO AP 94365",2006-03-10,39697956300
14,-22.067056,-73.8579875,"26827 Johnson Summit
Lynnhaven, PW 69807",2005-05-25,72003421064
15,-56.562699,-11.6317385,"7772 Jacob Crossing
Nguyenfurt, CT 47429",2021-11-21,38207642835
16,31.972258,-89.7701685,"887 Rogers Mill
Whitneymouth, NC 72405",2002-05-11,18756731528
17,147.255825,50.1632025,"5389 Morgan Brooks Apt. 273
Robertsmouth, MI 84576",2009-04-20,96612351316
18,134.340375,0.161743,"4913 Alison Estates Apt. 786
West Matthewmouth, TN 82666",2012-01-12,70073771948
19,-118.810493,-26.460339,"5878 Debra Via
Brianview, ID 45282",2009-02-15,60520202028
20,134.960539,17.813438,"870 White Trace Apt. 878
West Michael, OR 23097",2014-02-08,28425135508
21,98.298800,-16.189027,"354 Gray Manor
Rossfurt, IA 75486",2023-02-22,58768344776
22,-105.740642,34.480138,"PSC 7336, Box 0001
APO AA 40507",1996-07-13,73671385397
23,135.716739,-5.5318215,"9109 Hansen Tunnel
Matthewstad, MT 21459",2019-06-05,57234175977
24,-98.597801,-57.8219895,"56431 Jacob Streets Suite 180
Drakehaven, MN 86140",2006-01-26,26791947486
25,-36.118267,39.9137095,"591 Nathan Orchard Suite 649
Whitemouth, NC 83952",1995-08-15,98115915794
26,59.585048,-58.625474,"787 Nguyen Garden Suite 465
Lopezstad, NE 61166",2017-03-03,60423268513
27,-158.367154,83.083144,"63551 Carrie Crossroad Apt. 820
South Anna, TX 51084",2007-11-09,26721340098
28,171.550955,-62.287927,"5243 Briggs Rapids
Hallshire, PA 34913",2017-01-12,58141667411
29,98.733799,8.864676,"USNV Phelps
FPO AA 06105",2013-05-11,21093598224
30,-179.593882,-71.178875,"770 Walter Manors
South Steven, NE 96928",2022-04-18,99284859085
31,-72.624670,12.233100,"607 Samuel Mountains
South Daniel, MO 86803",1997-03-11,14490002144
32,-7.934872,16.254319,"94053 Velasquez Ford
West Jennifer, MI 09715",2001-02-06,15272641659
33,-112.726690,9.7301005,"235 Berg Center Apt. 032
New Stephanie, WI 26551",1997-06-04,42563588360
34,-118.229260,53.748624,"707 Seth Land Suite 647
Laurenmouth, KY 14517",2022-07-15,63574812760
35,-11.803940,51.652183,"489 Anderson Heights
Jeffersonstad, DE 04126",2008-04-29,22830470871
36,143.206434,7.2564335,"77557 Keith Parks
Brittanyfort, MP 80250",2012-11-27,34670179624
37,154.278867,-60.514217,"USCGC Johnson
FPO AP 16800",2011-01-19,82589736053
38,-83.892036,-51.431140,"74012 Kimberly Trafficway Suite 377
Portertown, SC 01422",1999-06-28,49159444307
39,8.728828,75.843600,"PSC 3106, Box 8009
APO AP 46831",2011-03-16,25838424385
40,-37.949132,-4.998787,"138 Silva Coves Apt. 056
Samanthamouth, OH 80766",2008-05-15,83764646847
41,-101.973214,-36.5220815,"199 Elizabeth Brook
South Emilyside, MI 80615",2005-10-27,84643186664
42,-118.579897,-29.268786,"43895 Timothy Harbor
Griffinberg, KS 15656",2013-09-14,98978414211
43,29.958468,-37.4324925,"298 Martinez Via
Moyerview, GA 22419",2006-11-13,42875461634
44,-7.830746,18.3775175,"01269 Stacey Meadows
South Michaeltown, UT 60730",2022-08-13,40134784522
45,19.857261,-26.5154365,"58759 Bianca Cliffs
Boltonchester, GA 87273",2013-06-16,99924152159
46,-166.308308,-11.768957,"53777 Marcus Drive
Jerryside, KY 33825",2019-08-10,21150295708
47,60.656476,29.3320465,"4841 Linda Row Suite 891
South Paulaland, IA 82344",2007-01-25,70250474794
48,115.046275,22.1536885,"881 Williamson Islands
Lake Paulfurt, AS 67386",2010-11-23,53460213150
49,22.996158,24.4322615,"6783 Carter Fords Apt. 402
Andrewstad, MS 26185",1999-02-13,18983893671
50,80.615406,87.1489965,"4474 Saunders Lane Apt. 990
East Michael, MS 91070",2011-12-28,62802235979
51,-62.246005,-80.8832275,"7773 Ann Harbors Suite 827
West Nicole, CO 23213",1997-03-13,64360919920
52,-91.652581,0.1472065,"7505 Frances Keys Suite 894
Amyhaven, MS 82783",2013-10-09,40008505057
53,98.796741,11.1055175,"2295 Steven Isle
Lake Karenhaven, IN 26492",2019-03-26,43725191950
54,157.888040,-69.8295925,"712 Newton Extensions Apt. 788
East Rhondastad, MA 27415",2015-04-26,34188171784
55,17.951829,-46.2455945,"98936 Martinez Heights Suite 177
Hoodport, PW 99755",2021-04-26,17534160654
56,-16.759348,29.009434,"780 Alan Spurs
Wuchester, NH 33476",1995-07-22,58881322475
57,-9.263167,88.807620,"PSC 5066, Box 2817
APO AE 58002",2010-06-13,58141667411
58,43.114456,26.4015115,"91529 Carpenter Oval Apt. 543
Kennethborough, MS 52069",2004-04-23,87575080827
59,-86.680379,76.1764285,"900 Lisa Parks
Christopherland, MN 70273",2015-10-11,99593965695
60,-54.658597,3.1354465,"51965 Valentine Extensions Apt. 059
Henrybury, OH 40575",2008-08-13,42337569000
61,127.886650,-35.048159,"95640 Harrington Vista Apt. 727
South Laura, WI 26672",2019-09-08,54359947536
62,-115.122818,-83.572639,"0464 Thompson Lake
North Christopher, MS 04040",2022-02-28,65149192004
63,109.645368,9.2512855,"509 Lisa Rapid Apt. 769
New Anthonymouth, NC 85291",1995-03-06,41508727612
64,-165.953218,54.862824,"50957 Jason Pike
Russellmouth, WA 20040",1996-11-06,72003421064
65,-145.321368,-74.5904235,"33799 April Canyon
Moonfurt, NE 05876",2000-08-13,18062192681
66,-173.490146,-23.1639835,"06771 Crystal Groves
Mcmillanville, SC 86863",2016-02-15,72532865074
67,62.198040,66.1518905,"858 George Court
North Katherine, PR 62582",2011-07-08,68480233932
