aforo,nombre_seccion,grado_id,sede_id
14,MediumTurquoise,7,507
38,LimeGreen,6,947
10,Indigo,1,1381
8,Lavender,4,1579
15,White,5,1255
22,Cornsilk,6,1097
9,MistyRose,2,395
6,Gainsboro,8,797
26,PeachPuff,1,506
33,PaleTurquoise,8,1875
15,Sienna,6,418
38,Lime,7,1402
29,GhostWhite,3,267
33,Maroon,0,1545
36,LightYellow,7,951
7,LightSlateGray,2,563
20,LavenderBlush,7,1002
39,LightCoral,9,386
22,SlateBlue,7,1884
9,MintCream,8,764
6,LemonChiffon,9,1536
22,SkyBlue,7,1485
9,Beige,1,643
10,Teal,7,639
39,FloralWhite,9,30
22,RosyBrown,4,995
17,Red,8,1695
31,LightSkyBlue,3,128
37,DarkSeaGreen,6,982
20,DarkKhaki,9,1489
38,MediumAquaMarine,9,1297
33,HoneyDew,1,192
16,YellowGreen,10,1838
14,SteelBlue,6,208
26,PeachPuff,3,1385
28,DarkTurquoise,7,35
24,LightSkyBlue,0,922
8,Moccasin,10,1743
34,Gray,10,1730
13,LightSalmon,3,397
19,SeaShell,1,885
31,DarkOliveGreen,10,1179
19,SeaGreen,5,1944
16,Chocolate,10,1038
8,DarkRed,1,1580
16,Tomato,7,1618
6,Beige,2,1350
5,LightCyan,4,178
20,RoyalBlue,5,349
10,SlateBlue,9,1403
35,GreenYellow,5,642
35,SteelBlue,3,896
6,LemonChiffon,8,1970
37,Chocolate,1,1062
39,MediumAquaMarine,0,101
34,Azure,5,653
20,LightGray,1,1106
29,Coral,6,434
38,LavenderBlush,3,376
39,Maroon,4,956
8,Moccasin,2,1003
39,HotPink,5,1802
18,SeaShell,1,1590
7,MediumOrchid,4,1224
12,DarkSlateGray,4,1261
34,DeepSkyBlue,5,716
29,SaddleBrown,2,619
26,MistyRose,0,1034
10,LightSalmon,7,377
30,SpringGreen,6,1192
13,BlanchedAlmond,3,1922
22,MediumSlateBlue,5,62
25,Fuchsia,6,1247
36,AliceBlue,4,1927
40,Orange,1,631
21,IndianRed,5,609
30,NavajoWhite,9,704
12,Khaki,10,1347
22,DarkSeaGreen,1,950
24,LightBlue,2,1391
21,Beige,0,283
20,FireBrick,10,251
30,Khaki,7,395
8,LightSteelBlue,9,311
24,LightSeaGreen,5,851
5,PeachPuff,0,1838
26,AliceBlue,9,883
39,DarkOliveGreen,8,15
36,PapayaWhip,1,1199
27,PaleVioletRed,10,944
10,BlanchedAlmond,10,1219
13,SeaGreen,3,1423
12,Chartreuse,1,704
28,SkyBlue,0,1809
6,Linen,10,1580
10,Green,0,1846
9,Tomato,8,99
28,FloralWhite,4,1674
8,BurlyWood,8,1363
30,Teal,8,802
24,Red,10,366
6,AliceBlue,0,943
7,Navy,2,328
39,MidnightBlue,8,893
16,PaleGreen,9,1851
7,PaleGreen,6,1748
11,DarkKhaki,5,1456
38,Lime,6,1185
33,DimGray,7,273
26,GreenYellow,7,1610
35,IndianRed,10,1523
7,DodgerBlue,1,986
36,SeaShell,10,343
22,AliceBlue,0,1218
28,LightSteelBlue,0,1558
17,LightSalmon,0,22
32,Blue,5,412
35,Violet,7,1466
26,DarkOliveGreen,3,673
8,MediumSlateBlue,2,1542
18,Aqua,2,421
19,Green,0,139
19,OldLace,3,1973
13,MediumSlateBlue,7,372
34,DeepPink,0,1034
5,OliveDrab,3,545
37,DarkOliveGreen,2,1737
22,MediumSeaGreen,0,1475
34,MediumBlue,4,1057
8,MediumPurple,4,1027
34,MintCream,3,1185
19,DarkGreen,5,1191
28,GreenYellow,10,572
7,MediumPurple,1,1289
23,AliceBlue,9,1320
11,SpringGreen,2,1361
15,MistyRose,9,1349
35,Blue,10,257
34,Red,5,1704
22,MintCream,7,1907
14,ForestGreen,3,62
8,Sienna,10,1334
23,DarkRed,4,862
31,DarkGreen,10,1543
12,Orchid,10,1805
31,SlateBlue,2,1384
36,OldLace,2,1856
38,FireBrick,6,408
19,Chartreuse,4,518
19,DarkBlue,5,469
22,Indigo,4,728
39,DarkOrange,9,1345
7,Orchid,1,1183
17,Cyan,5,1882
23,SlateBlue,0,478
36,Aqua,5,992
16,PowderBlue,4,1244
40,GhostWhite,6,1812
13,Orange,4,744
5,MediumSlateBlue,8,1499
30,PapayaWhip,5,487
28,LemonChiffon,3,163
36,MediumSeaGreen,8,896
27,DarkBlue,9,562
21,IndianRed,7,1044
25,Gainsboro,5,576
14,DodgerBlue,4,1146
8,Aqua,0,514
25,HoneyDew,3,52
9,GoldenRod,1,1678
35,PowderBlue,10,1045
15,PaleTurquoise,7,794
8,Lime,8,1993
26,YellowGreen,9,501
17,MediumTurquoise,0,1344
8,LightSalmon,1,19
14,Gray,7,436
12,SlateBlue,1,1414
27,RoyalBlue,0,1465
20,Green,1,1702
35,SandyBrown,10,73
27,Cornsilk,7,948
5,Bisque,10,42
27,Gainsboro,10,1951
25,Ivory,2,1839
19,Indigo,7,893
25,Gray,9,80
7,Turquoise,3,1136
19,HotPink,4,1936
33,MintCream,2,1975
39,Magenta,0,1910
9,BlueViolet,10,237
36,MediumSlateBlue,1,112
39,LightBlue,4,1746
40,Black,0,1495
30,GreenYellow,0,105
16,AliceBlue,9,629
25,BlueViolet,4,648
27,Blue,0,714
15,PaleVioletRed,5,134
19,Plum,3,648
19,Azure,3,691
21,Green,8,407
18,FireBrick,5,781
12,MediumSeaGreen,8,1549
21,YellowGreen,0,453
20,OliveDrab,7,1961
25,DarkSeaGreen,2,958
34,CornflowerBlue,2,123
11,Sienna,2,1245
37,Olive,3,787
7,LightGray,4,834
18,LightSlateGray,5,782
29,Chartreuse,9,267
20,DarkRed,5,218
38,Azure,3,868
8,Lime,9,814
25,Lavender,7,909
33,Peru,0,1806
24,Peru,10,1073
37,LimeGreen,5,769
36,Moccasin,10,1273
29,SeaShell,6,676
5,Blue,10,1952
33,Bisque,6,518
24,PaleGreen,0,1373
39,FireBrick,8,807
18,IndianRed,0,561
30,BlueViolet,7,1120
19,LightCoral,6,1426
12,Sienna,8,450
31,WhiteSmoke,10,1666
5,Red,4,102
13,OliveDrab,5,1323
8,SlateBlue,0,183
22,LightGoldenRodYellow,4,1469
13,Sienna,6,41
33,MediumPurple,5,159
11,BurlyWood,5,171
26,GoldenRod,7,414
25,Ivory,2,1447
24,LightYellow,3,1691
18,DarkTurquoise,10,768
21,Magenta,9,1922
9,PapayaWhip,4,1479
38,Snow,3,1254
33,SeaShell,5,1695
38,MediumVioletRed,10,1712
25,AntiqueWhite,1,1516
13,Plum,7,1263
23,Tan,6,1486
21,Black,6,555
18,DarkTurquoise,8,1831
24,Thistle,4,857
11,Moccasin,3,940
39,Linen,5,782
16,LightCoral,7,1389
35,BlueViolet,8,569
21,SaddleBrown,5,1771
24,PaleGoldenRod,6,316
39,Cyan,8,335
17,LightPink,9,1512
14,Pink,4,878
21,Aquamarine,0,215
10,DeepPink,2,1776
12,MediumOrchid,9,749
38,DarkSlateBlue,2,952
5,White,7,1421
23,YellowGreen,1,1594
24,SandyBrown,6,1676
12,MediumTurquoise,2,1595
39,DarkSlateBlue,6,1907
34,Bisque,0,579
38,DarkGreen,2,234
34,White,4,1473
7,Silver,7,1012
21,OliveDrab,2,999
34,Fuchsia,5,416
14,Purple,1,1986
11,Magenta,4,1113
27,SteelBlue,7,868
40,CadetBlue,2,1387
10,ForestGreen,7,1971
7,DarkOliveGreen,0,393
5,DarkGoldenRod,0,27
37,Moccasin,5,1807
20,Peru,8,611
32,Indigo,9,2
19,HotPink,1,877
23,DimGray,0,466
23,Violet,2,1955
26,DodgerBlue,7,660
35,Magenta,7,1676
17,Black,5,1836
27,PowderBlue,7,700
25,SandyBrown,1,1073
11,OldLace,2,1225
9,LightSalmon,0,869
24,DarkOrange,3,56
39,LimeGreen,8,333
35,DarkOrchid,1,1363
16,PeachPuff,4,1052
36,MediumSlateBlue,0,458
9,MistyRose,1,1492
16,Pink,10,1036
29,MediumVioletRed,9,1163
22,LightGreen,3,650
37,SeaShell,1,916
33,MistyRose,10,1038
39,Beige,5,1313
32,Aqua,0,1635
14,PaleGoldenRod,1,1511
33,PowderBlue,8,1626
16,DarkSalmon,6,1093
23,SlateBlue,3,1499
32,MistyRose,3,907
19,Purple,2,1502
24,Crimson,5,1493
40,MediumSeaGreen,5,1594
39,LavenderBlush,6,85
20,DarkSlateBlue,0,1741
37,SkyBlue,8,1609
31,LightSeaGreen,7,914
24,PaleGreen,2,508
17,Snow,3,926
24,GreenYellow,4,1268
33,Plum,3,641
36,Khaki,10,974
16,MediumPurple,8,699
15,Cyan,2,1667
27,RosyBrown,6,1992
34,MidnightBlue,1,126
31,Plum,1,1329
9,Blue,2,93
11,MediumSeaGreen,8,1723
28,SeaShell,6,172
11,MintCream,4,1734
6,Tan,0,81
14,LightSlateGray,2,79
35,Azure,8,1119
16,MediumVioletRed,2,264
31,DarkOrange,0,435
34,Lavender,5,1468
22,Crimson,2,979
5,Tomato,7,1802
21,LavenderBlush,5,1858
38,Gold,2,35
28,Turquoise,10,1176
22,PaleGoldenRod,10,798
16,SlateGray,0,1239
40,WhiteSmoke,0,681
15,MediumSpringGreen,7,1050
38,Chartreuse,2,503
38,DarkSeaGreen,4,971
40,Azure,2,1422
13,LightSeaGreen,4,1775
11,MediumSpringGreen,1,634
40,SpringGreen,1,1516
30,PowderBlue,8,647
38,MidnightBlue,9,622
24,Lavender,8,649
26,BlanchedAlmond,8,645
21,HoneyDew,5,1127
14,PeachPuff,10,1461
23,MediumSlateBlue,7,1313
31,LightSteelBlue,0,855
34,White,2,801
17,Chartreuse,4,1865
19,DeepSkyBlue,2,1633
27,SlateGray,8,118
15,YellowGreen,2,316
33,Teal,0,1275
35,Moccasin,3,190
19,SlateGray,6,1201
27,LightYellow,9,677
35,IndianRed,0,113
32,FloralWhite,1,1391
15,MediumAquaMarine,3,852
27,Ivory,1,730
13,MintCream,4,427
14,DarkTurquoise,2,313
28,Chartreuse,5,121
11,PeachPuff,3,1878
16,ForestGreen,0,822
12,SeaGreen,1,482
6,AntiqueWhite,1,281
28,Purple,0,1965
6,DarkViolet,0,1820
15,Lime,2,894
24,PaleVioletRed,3,590
19,Red,9,1093
8,NavajoWhite,4,395
7,MidnightBlue,0,509
33,Wheat,1,1472
31,DeepSkyBlue,8,261
32,PapayaWhip,9,5
34,Red,7,1263
15,Indigo,2,209
22,MidnightBlue,0,38
7,SeaGreen,3,1630
25,OldLace,6,1526
12,LightCyan,2,1968
21,DarkTurquoise,9,1081
7,YellowGreen,1,1525
27,AntiqueWhite,0,1917
28,MediumSlateBlue,7,268
19,SlateGray,3,67
22,PowderBlue,8,1332
40,Aquamarine,0,378
18,Black,8,1713
17,AliceBlue,3,1601
29,LightCyan,3,303
23,SteelBlue,7,711
14,Ivory,9,468
29,LightCoral,2,482
11,LightCoral,0,1438
15,Pink,9,1685
29,SlateBlue,3,1644
24,LightSkyBlue,6,1573
9,Black,10,888
23,BlueViolet,8,323
20,Linen,9,1430
35,OrangeRed,2,616
36,DarkSeaGreen,2,757
32,RoyalBlue,9,1142
40,DarkOliveGreen,10,1591
21,MediumTurquoise,1,1273
10,Olive,8,683
32,MediumAquaMarine,3,1889
35,LightSlateGray,2,684
23,ForestGreen,9,1774
19,Gold,8,1121
17,BurlyWood,6,499
7,Brown,5,834
35,Sienna,1,112
27,DarkSalmon,8,1660
34,Linen,1,1270
12,SpringGreen,7,316
5,Olive,7,304
36,MistyRose,1,713
29,LightSteelBlue,2,1188
5,DarkSeaGreen,5,1947
24,LightGreen,1,1206
5,PowderBlue,4,649
24,LightYellow,5,902
14,PaleGoldenRod,2,1477
14,MediumVioletRed,1,1253
39,Chartreuse,4,343
23,SlateBlue,1,1471
30,DarkRed,8,1353
40,LightSalmon,5,1366
8,DarkSlateGray,7,65
14,Ivory,2,686
38,MediumOrchid,3,853
28,LightSlateGray,10,1856
17,Ivory,4,1349
24,Sienna,5,692
7,Cyan,7,1241
28,Orchid,7,1309
20,DarkOrange,2,678
23,CornflowerBlue,1,1825
13,DarkSalmon,1,1764
22,ForestGreen,8,938
14,MediumSeaGreen,2,1572
13,Aquamarine,1,596
18,Khaki,1,295
20,Chocolate,8,1114
24,Turquoise,6,354
39,SteelBlue,9,749
9,Cornsilk,0,1279
18,Crimson,2,1969
18,LightGreen,6,1107
9,LightSkyBlue,0,1725
5,MidnightBlue,10,1942
25,Cyan,5,1738
31,Navy,7,1360
39,LawnGreen,2,1810
37,DarkViolet,5,1383
35,Lime,6,953
35,Gainsboro,2,1139
37,Ivory,7,1265
16,Crimson,3,1179
33,Olive,7,1089
12,DarkOrange,1,1712
26,PaleVioletRed,7,919
31,Lime,7,794
19,AntiqueWhite,8,1065
34,LightCoral,9,433
6,Lime,8,697
22,LightSalmon,0,1877
24,Peru,9,1809
5,FireBrick,5,208
11,SeaShell,9,1211
6,Orchid,3,30
33,DarkViolet,6,580
38,Teal,5,283
10,Salmon,9,1761
27,LightGreen,6,114
26,MediumOrchid,5,199
10,DarkViolet,4,1937
23,LightSalmon,7,1247
6,Tomato,7,1888
14,SaddleBrown,3,1464
13,SeaGreen,2,1337
5,MediumSpringGreen,7,556
26,OldLace,1,1452
5,Pink,4,1372
25,DarkGoldenRod,2,1491
5,LightGoldenRodYellow,5,1948
40,SandyBrown,5,1372
34,LightSalmon,2,1718
7,SteelBlue,7,1721
13,Thistle,9,122
32,BlanchedAlmond,10,1762
37,DarkTurquoise,1,1061
40,LightSteelBlue,3,1666
16,Wheat,4,1776
14,RosyBrown,4,1053
40,DarkCyan,9,1869
24,LightBlue,5,1097
18,PaleGoldenRod,1,1206
10,DarkOrchid,3,1757
10,Linen,10,1936
33,AliceBlue,3,489
13,SkyBlue,4,1033
36,Pink,7,630
30,LightGray,2,1611
26,LawnGreen,0,282
8,MediumVioletRed,9,488
12,Cyan,3,1531
35,SlateBlue,4,60
23,SteelBlue,3,1805
34,OliveDrab,10,1341
20,Blue,0,1033
26,CornflowerBlue,2,1914
17,Lavender,8,1294
34,PaleVioletRed,10,433
14,ForestGreen,0,1941
30,Turquoise,1,1857
10,DarkSeaGreen,0,723
10,LightCyan,8,631
22,Beige,4,482
26,LightSalmon,3,1727
12,Wheat,7,1145
13,Gold,1,22
17,Turquoise,3,782
26,Lavender,10,1313
25,HoneyDew,2,1251
19,Cyan,1,420
22,SlateBlue,1,667
16,Lime,4,1143
33,Blue,0,1751
13,RosyBrown,1,1131
15,Olive,0,76
23,SlateGray,5,1164
9,LightSeaGreen,4,164
18,Black,8,1008
8,MediumAquaMarine,3,1147
19,SteelBlue,7,1888
24,DarkOrange,1,1682
30,RoyalBlue,5,19
35,Coral,6,470
25,CornflowerBlue,4,1011
22,Purple,8,1524
9,DeepPink,5,827
13,Black,8,1909
29,MintCream,10,1887
29,DodgerBlue,7,1412
17,Fuchsia,5,1658
28,White,9,1266
25,DarkBlue,2,1206
19,Gainsboro,4,1548
23,MintCream,4,14
37,MediumOrchid,8,1045
5,LightYellow,8,698
34,SeaGreen,4,664
23,LightCyan,1,1313
26,Indigo,9,220
25,Gainsboro,9,996
13,Thistle,0,998
16,PapayaWhip,0,911
19,BlanchedAlmond,1,53
9,Violet,1,888
39,LightSkyBlue,7,1295
21,Gainsboro,9,628
9,OrangeRed,10,22
24,Navy,3,1019
25,DarkCyan,0,499
33,PaleTurquoise,10,224
24,OrangeRed,2,1626
19,Gainsboro,6,1853
5,LemonChiffon,8,1366
35,PowderBlue,9,497
20,Gainsboro,6,1749
19,Lime,1,597
20,AliceBlue,10,1854
11,Violet,2,1233
12,Navy,9,726
12,ForestGreen,3,356
9,PaleGoldenRod,8,1670
8,White,9,1006
16,Red,3,977
31,PaleVioletRed,7,1248
30,Azure,6,1704
24,Fuchsia,1,1840
24,Lime,1,1910
10,Orchid,10,1000
28,DarkBlue,7,1284
28,FireBrick,3,886
6,PaleTurquoise,3,485
18,DarkSeaGreen,1,893
16,Aqua,9,1108
9,LightGoldenRodYellow,7,1107
37,PaleVioletRed,6,1572
24,PeachPuff,1,1075
6,DarkSlateGray,3,254
14,Green,6,819
29,Indigo,7,1022
12,MidnightBlue,3,42
28,LightSteelBlue,2,988
39,LightPink,9,1809
21,DarkKhaki,1,682
5,Tomato,4,1036
20,LightCyan,5,264
24,Salmon,9,1151
23,Sienna,3,483
40,Fuchsia,5,1508
34,Fuchsia,8,427
13,SandyBrown,8,1514
28,SlateGray,7,49
14,WhiteSmoke,7,885
19,LightGray,3,1403
5,Salmon,0,1009
24,RoyalBlue,5,1881
40,Sienna,8,1884
8,MediumAquaMarine,5,403
9,MediumSlateBlue,7,981
5,DarkViolet,10,75
30,Coral,3,745
