aforo,nombre_seccion,grado_id,sede_id
6,DarkTurquoise,6,1
34,MistyRose,5,0
9,Teal,8,0
33,CornflowerBlue,5,0
40,DodgerBlue,1,1
27,SandyBrown,10,0
20,Lime,8,1
38,Bisque,0,0
36,Cornsilk,3,1
32,SpringGreen,7,0
37,Beige,6,1
40,PowderBlue,3,1
22,Aqua,10,1
32,LightSkyBlue,8,1
8,DarkRed,0,1
22,Wheat,2,0
6,NavajoWhite,8,1
19,DimGray,5,1
40,Peru,9,1
21,SeaGreen,10,1
12,Azure,5,0
29,Chartreuse,10,1
12,Coral,9,1
12,ForestGreen,6,1
5,DarkSlateBlue,7,0
34,HotPink,0,0
11,Gold,5,1
21,DarkCyan,9,0
11,DarkCyan,1,1
40,WhiteSmoke,10,1
